,,,,,Games,Games,Pass Coverage,Pass Coverage,Pass Coverage,Pass Coverage,Pass Coverage,Pass Coverage,Pass Coverage,Pass Coverage,Pass Coverage,Pass Coverage,Pass Coverage,Pass Coverage,Pass Rush,Pass Rush,Pass Rush,Pass Rush,Pass Rush,Tackles,Tackles,Tackles
703,Vincent Taylor\TaylVi00,BUF,25,,3,0,0,0,0,,0,,,0,,,0,0,0,1,0,0.0,1,6,0,0.0%
704,Neiko Thorpe\ThorNe00,SEA,29,,7,0,0,3,3,100.0%,31,10.3,10.3,0,109.7,9.0,27,4,0,0,0,0.0,0,8,0,0.0%
705,Olasunkanmi Adeniyi\AdenOl00,PIT,22,,16,0,0,1,1,100.0%,-1,-1.0,-1.0,0,79.2,-4.0,-4,3,2,0,0,0.0,0,8,0,0.0%
706,D.J. Alexander\AlexD.00,JAX,28,,5,0,0,3,3,100.0%,8,2.7,2.7,0,79.2,-1.7,-5,13,0,0,0,0.0,0,7,0,0.0%
707,Eli Ankou\AnkoEl00,CLE,25,,9,2,0,0,0,,0,,,0,,,0,0,0,0,0,0.0,0,7,1,12.5%
708,Johnson Bademosi\BadeJo00,2TM,29,,10,0,0,2,2,100.0%,18,9.0,9.0,0,104.2,3.5,7,11,0,0,0,0.0,0,6,0,0.0%
709,Kyron Brown\BrowKy00,NYJ,23,,3,1,0,7,4,57.1%,44,11.0,6.3,0,75.9,9.3,30,14,0,0,0,0.0,0,5,1,16.7%
710,Artie Burns\BurnAr00,PIT,24,/cb,10,1,0,4,4,100.0%,52,13.0,13.0,1,158.3,11.3,45,7,0,0,0,0.0,0,8,0,0.0%
711,Jamal Carter\CartJa02,ATL,25,,11,0,0,11,6,54.5%,90,15.0,8.2,0,81.6,9.5,43,47,2,0,0,0.0,0,10,2,16.7%
712,Sean Davis\DaviSe00,PIT,26,,1,1,0,6,5,83.3%,65,13.0,10.8,2,151.4,14.3,53,12,0,0,0,0.0,0,5,1,16.7%
713,Marcus Epps\EppsMa00,2TM,23,,15,0,0,6,4,66.7%,68,17.0,11.3,0,104.9,20.0,65,3,1,0,0,0.0,0,6,0,0.0%
714,Marquis Haynes\HaynMa01,CAR,26,,11,0,0,0,0,,0,,,0,,,0,0,3,3,1,1.0,5,12,2,14.3%
715,Dion Jordan\JordDi00,OAK,29,,7,0,0,0,0,,0,,,0,,,0,0,0,3,0,2.0,5,5,2,28.6%
716,Kyle Love\LoveKy00,CAR,33,/nt,15,1,0,0,0,,0,,,0,,,0,0,0,2,1,0.0,3,8,1,11.1%
717,Albert McClellan\McClAl00,NYJ,33,,5,0,0,2,2,100.0%,32,16.0,16.0,0,118.7,5.5,11,21,1,0,0,0.0,0,9,0,0.0%
718,R.J. McIntosh\McInR.00,NYG,23,,12,0,0,0,0,,0,,,0,,,0,0,0,0,0,2.0,2,13,0,0.0%
719,Barkevious Mingo\MingBa00,HOU,29,,16,1,0,1,0,0.0%,0,,0.0,0,39.6,3.0,0,0,6,2,2,0.0,4,6,0,0.0%
720,C.J. Moore\MoorCJ01,DET,24,,16,0,0,1,0,0.0%,0,,0.0,0,39.6,17.0,0,0,1,0,0,0.0,0,7,0,0.0%
721,Calvin Munson\MunsCa00,MIA,25,,2,2,0,2,2,100.0%,16,8.0,8.0,0,100.0,2.5,5,11,4,0,0,0.0,0,7,3,30.0%
722,Hardy Nickerson\NickHa02,CIN,25,,7,0,0,1,1,100.0%,4,4.0,4.0,0,83.3,4.0,4,0,3,0,0,0.0,0,6,0,0.0%
723,Rakeem Nunez-Roches\NuneRa00,TAM,26,,16,0,0,0,0,,0,,,0,,,0,0,1,2,1,0.0,3,9,0,0.0%
724,LaRoy Reynolds\ReynLa00,CIN,29,,15,0,0,1,1,100.0%,8,8.0,8.0,0,100.0,2.0,2,6,6,0,1,0.0,1,6,0,0.0%
725,Hassan Ridgeway\RidgHa00,PHI,25,ldt,7,5,0,0,0,,0,,,0,,,0,0,0,2,2,2.0,6,8,3,27.3%
726,Derick Roberson\RobeDe01,TEN,24,,3,0,0,1,1,100.0%,20,20.0,20.0,0,118.7,5.0,5,15,1,1,0,3.0,4,6,1,14.3%
727,Dominique Rodgers-Cromartie\RodgDo99,WAS,33,/cb,2,1,0,7,6,85.7%,66,11.0,9.4,0,106.0,6.9,45,21,0,0,0,0.0,0,7,3,30.0%
728,Zach Sieler\SielZa00,2TM,24,,7,1,0,0,0,,0,,,0,,,0,0,0,3,0,1.0,4,11,2,15.4%
729,Andre Smith\SmitAn04,CAR,22,,16,0,0,0,0,,0,,,0,,,0,0,1,0,0,0.0,0,5,0,0.0%
730,Taylor Stallworth\StalTa00,NOR,24,,4,0,0,0,0,,0,,,0,,,0,0,0,1,0,0.0,1,8,0,0.0%
731,Josiah Tauaefa\TauaJo00,NYG,22,,12,0,0,2,2,100.0%,-1,-0.5,-0.5,0,79.2,-4.5,-9,8,0,0,0,0.0,0,6,1,14.3%
732,Simeon Thomas\ThomSi00,WAS,26,,12,0,0,4,2,50.0%,32,16.0,8.0,0,77.1,11.3,27,5,0,0,0,0.0,0,8,0,0.0%
733,Brynden Trawick\TrawBr00,BAL,30,,6,0,0,0,0,,0,,,0,,,0,0,1,0,0,0.0,0,6,0,0.0%
734,Kyle Wilber\WilbKy00,OAK,30,,14,1,0,3,1,33.3%,5,5.0,1.7,0,42.4,2.7,2,3,4,0,0,0.0,0,6,0,0.0%
735,Montravius Adams\AdamMo00,GNB,24,,14,2,0,0,0,,0,,,0,,,0,0,0,0,0,0.0,0,11,1,8.3%
736,Beau Allen\AlleBe00,TAM,28,,13,0,0,0,0,,0,,,0,,,0,0,0,0,0,0.5,1,10,0,0.0%
737,Jayrone Elliott\ElliJa02,PIT,28,,5,0,0,0,0,,0,,,0,,,0,0,2,0,0,0.0,0,4,0,0.0%
738,Bryce Hager\HageBr00,LAR,27,/il,5,4,0,1,1,100.0%,4,4.0,4.0,0,83.3,-4.0,-4,8,1,0,0,0.0,0,11,1,8.3%
739,Daeshon Hall\HallDa01,PHI,24,,9,0,0,1,1,100.0%,9,9.0,9.0,0,104.2,5.0,5,4,0,0,0,1.0,1,6,1,14.3%
740,Da'Shawn Hand\HandDa00,DET,24,,3,2,0,0,0,,0,,,0,,,0,0,0,0,0,0.0,0,6,2,25.0%
741,Demone Harris\HarrDe06,2TM,24,,5,0,0,1,1,100.0%,12,12.0,12.0,0,116.7,4.0,4,8,1,0,1,0.0,1,4,1,20.0%
742,Tae Hayes\HayeTa00,2TM,22,,3,0,0,16,4,25.0%,55,13.8,3.4,0,41.4,17.3,39,16,2,0,0,0.0,0,7,1,12.5%
743,Trysten Hill\HillTr00,DAL,21,,7,0,0,1,1,100.0%,-4,-4.0,-4.0,0,79.2,-7.0,-7,3,0,1,2,0.0,3,5,2,28.6%
744,Kenny Ladler\LadlKe00,WAS,27,,1,0,0,0,0,,0,,,0,,,0,0,0,0,0,0.0,0,4,4,50.0%
745,Devaroe Lawrence\LawrDe02,CLE,27,,11,2,1,0,0,,0,,,0,,,0,0,0,0,1,0.0,1,8,1,11.1%
746,Aaron Lynch\LyncAa00,CHI,26,,16,0,0,1,0,0.0%,0,,0.0,0,39.6,-7.0,0,0,0,2,6,2.0,10,6,0,0.0%
747,Isaiah Mack\MackIs00,TEN,23,,13,1,0,0,0,,0,,,0,,,0,0,0,1,0,1.5,3,8,1,11.1%
748,C.J. Mosley\MoslC.00,NYJ,27,,2,2,1,7,4,57.1%,49,12.3,7.0,0,39.3,10.1,37,12,17,0,0,0.0,0,9,0,0.0%
749,Corey Nelson\NelsCo00,DEN,27,/il,7,2,0,2,2,100.0%,35,17.5,17.5,0,118.7,2.0,4,31,3,0,0,0.0,0,10,1,9.1%
750,Parry Nickerson\NickPa00,JAX,25,,4,1,0,5,1,20.0%,16,16.0,3.2,0,40.4,15.8,11,5,0,0,0,0.0,0,6,0,0.0%
751,Pat O'Connor\OConPa00,TAM,26,,8,0,0,0,0,,0,,,0,,,0,0,0,0,1,0.0,1,6,0,0.0%
752,Darius Phillips\PhilDa02,CIN,24,,8,1,4,16,6,37.5%,144,24.0,9.0,2,70.8,18.5,125,19,3,1,0,0.0,1,5,0,0.0%
753,Justin Phillips\PhilJu00,OAK,24,,4,0,0,2,2,100.0%,26,13.0,13.0,0,118.7,2.5,5,21,1,0,0,0.0,0,7,0,0.0%
754,Brooks Reed\ReedBr00,ARI,32,,9,0,0,1,1,100.0%,7,7.0,7.0,0,95.8,5.0,5,2,4,1,0,1.0,2,8,1,11.1%
755,Kawann Short\ShorKa00,CAR,30,,2,2,0,0,0,,0,,,0,,,0,0,0,1,3,0.0,4,4,1,20.0%
756,Cameron Smith\SmitCa01,MIN,22,,5,0,0,0,0,,0,,,0,,,0,0,1,0,0,0.0,0,8,0,0.0%
757,Malcolm Smith\SmitMa02,2TM,30,,4,1,0,6,4,66.7%,50,12.5,8.3,0,92.4,1.7,18,32,7,0,0,0.0,0,5,3,37.5%
758,E.J. Speed\SpeeEJ00,IND,24,,12,0,0,2,1,50.0%,-1,-1.0,-0.5,0,56.2,-2.5,-2,1,3,0,0,0.0,0,7,0,0.0%
759,Adarius Taylor\GlanAd00,CLE,29,,15,0,0,2,2,100.0%,16,8.0,8.0,0,100.0,6.0,12,4,2,0,0,0.0,0,9,1,10.0%
760,Manti Te'o\TeoxMa00,NOR,28,,3,2,0,0,0,,0,,,0,,,0,0,2,0,1,0.0,1,6,1,14.3%
761,Corey Thompson\ThomCo02,BUF,26,,12,0,0,6,4,66.7%,26,6.5,4.3,0,75.7,4.0,11,15,3,0,0,0.0,0,7,1,12.5%
762,Joejuan Williams\WillJo13,NWE,22,,9,0,0,7,3,42.9%,32,10.7,4.6,0,56.8,13.4,29,3,0,0,0,0.0,0,5,0,0.0%
763,Jordan Willis\WillJo09,NYJ,24,,9,0,0,1,1,100.0%,15,15.0,15.0,0,118.7,9.0,9,6,1,0,0,1.0,1,7,0,0.0%
764,Renell Wren\WrenRe00,CIN,24,,11,2,0,0,0,,0,,,0,,,0,0,0,1,0,0.0,1,8,0,0.0%
765,Abdullah Anderson\AndeAb00,CHI,23,,6,0,0,0,0,,0,,,0,,,0,0,0,2,0,1.0,3,4,0,0.0%
766,Cornell Armstrong\ArmsCo00,HOU,24,,5,0,0,4,3,75.0%,85,28.3,21.3,0,116.7,19.8,54,31,0,0,0,0.0,0,4,1,20.0%
767,Genard Avery\AverGe00,2TM,24,,10,0,0,1,0,0.0%,0,,0.0,0,39.6,8.0,0,0,2,0,0,0.5,1,6,0,0.0%
768,B.J. Bello\BellB.00,NYJ,25,,8,0,0,0,0,,0,,,0,,,0,0,0,0,0,0.0,0,5,1,16.7%
769,Devante Bond\BondDe00,2TM,26,,7,0,0,0,0,,0,,,0,,,0,0,2,0,0,0.0,0,3,0,0.0%
770,Sean Chandler\ChanSe00,NYG,23,,13,0,0,2,2,100.0%,26,13.0,13.0,0,118.7,8.5,17,9,5,0,0,0.0,0,7,1,12.5%
771,Kurt Coleman\ColeKu99,BUF,31,,14,0,0,2,1,50.0%,21,21.0,10.5,0,87.5,9.0,17,4,3,0,0,0.0,0,3,1,25.0%
772,Trevon Coley\ColeTr01,IND,25,,7,0,0,0,0,,0,,,0,,,0,0,0,1,0,0.0,1,6,1,14.3%
773,John Cominsky\ComiJo00,ATL,24,,10,0,0,1,1,100.0%,6,6.0,6.0,0,91.7,-4.0,-4,10,0,2,0,0.5,3,11,0,0.0%
774,Michael Dogbe\DogbMi00,ARI,23,,8,0,0,0,0,,0,,,0,,,0,0,0,0,0,0.0,0,5,1,16.7%
775,Nick Dzubnar\DzubNi00,LAC,28,,16,0,0,0,0,,0,,,0,,,0,0,0,0,0,0.0,0,8,1,11.1%
776,Daniel Ekuale\EkuaDa00,CLE,25,,7,0,0,0,0,,0,,,0,,,0,0,0,1,0,0.0,1,4,0,0.0%
777,Kavon Frazier\FrazKa00,DAL,25,,4,0,0,1,1,100.0%,4,4.0,4.0,0,83.3,4.0,4,0,0,0,0,0.0,0,5,0,0.0%
778,Shaquem Griffin\GrifSh01,SEA,24,,16,0,0,1,1,100.0%,9,9.0,9.0,0,104.2,1.0,1,8,9,2,3,0.0,5,5,0,0.0%
779,Dontae Johnson\JohnDo02,2TM,28,,9,0,0,2,2,100.0%,13,6.5,6.5,0,93.7,2.0,4,9,0,0,0,0.0,0,3,0,0.0%
780,Cyrus Jones\JoneCy00,BAL,26,,8,1,0,1,1,100.0%,13,13.0,13.0,0,118.7,11.0,11,2,0,0,0,0.0,0,4,0,0.0%
781,Kingsley Keke\KekeKi00,GNB,23,,14,0,0,0,0,,0,,,0,,,0,0,0,0,1,0.0,1,10,0,0.0%
782,Arden Key\KeyxAr00,OAK,23,,7,0,0,0,0,,0,,,0,,,0,0,0,0,2,2.0,4,4,0,0.0%
783,Elijah Lee\LeexEl00,SFO,23,,8,1,0,3,2,66.7%,6,3.0,2.0,0,70.1,-1.7,-5,11,0,0,0,0.0,0,7,1,12.5%
784,Tyquan Lewis\LewiTy00,IND,24,,9,0,0,1,1,100.0%,7,7.0,7.0,0,95.8,-6.0,-6,13,0,4,1,0.0,5,5,2,28.6%
785,Jordan Lucas\LucaJo00,KAN,26,,14,0,0,2,0,0.0%,0,,0.0,0,39.6,27.5,0,0,1,0,1,0.0,1,7,2,22.2%
786,Cole Luke\LukeCo00,CAR,24,,8,0,0,2,2,100.0%,16,8.0,8.0,0,100.0,5.5,11,5,0,0,0,0.0,0,3,1,25.0%
787,Kareem Martin\MartKa00,NYG,27,,5,0,0,0,0,,0,,,0,,,0,0,1,1,0,0.0,1,6,1,14.3%
788,Lerentee McCray\McCrLe01,JAX,29,,9,0,0,1,1,100.0%,14,14.0,14.0,0,118.7,-6.0,-6,20,0,0,0,0.0,0,5,0,0.0%
789,Daniel McCullers\McCuDa00,PIT,27,,16,0,0,0,0,,0,,,0,,,0,0,0,1,0,0.0,1,8,0,0.0%
790,Rontez Miles\MileRo00,NYJ,31,,7,0,0,0,0,,0,,,0,,,0,0,1,0,0,0.0,0,7,0,0.0%
791,Jordan Miller\MillJo05,ATL,22,,10,0,0,3,2,66.7%,26,13.0,8.7,0,93.7,11.3,7,19,0,0,0,0.0,0,4,0,0.0%
792,Ogbonnia Okoronkwo\OkorOg00,LAR,24,,10,0,0,2,2,100.0%,16,8.0,8.0,0,100.0,2.5,5,11,5,0,2,1.5,4,7,0,0.0%
793,Isaac Rochell\RochIs00,LAC,24,,16,0,0,0,0,,0,,,0,,,0,0,0,1,0,1.0,2,12,1,7.7%
794,Dontavius Russell\RussDo00,JAX,24,,3,0,0,1,0,0.0%,5,,5.0,0,47.9,-5.0,-5,10,0,0,0,0.0,0,4,2,33.3%
795,Linden Stephens\StepLi00,MIA,24,,3,0,0,4,4,100.0%,52,13.0,13.0,0,118.7,11.0,44,8,0,0,0,0.0,0,3,0,0.0%
796,James Vaughters\VaugJa01,CHI,26,,3,0,0,1,1,100.0%,6,6.0,6.0,0,91.7,1.0,1,5,0,0,0,0.0,0,3,0,0.0%
797,Cameron Wake\WakeCa00,TEN,37,,9,0,0,1,1,100.0%,5,5.0,5.0,0,87.5,-5.0,-5,10,14,5,5,2.5,13,4,3,42.9%
798,Jihad Ward\WardJi02,2TM,25,,14,0,0,1,1,100.0%,38,38.0,38.0,0,118.7,7.0,7,31,8,1,4,1.0,6,7,1,12.5%
799,Mazzi Wilkins\WilkMa00,TAM,24,,5,0,0,4,4,100.0%,37,9.3,9.3,0,105.2,4.8,19,18,0,0,0,0.0,0,3,0,0.0%
800,Anthony Zettel\ZettAn00,2TM,27,,5,0,0,0,0,,0,,,0,,,0,0,0,1,0,0.0,1,6,1,14.3%
801,Sam Acho\AchoSa00,TAM,31,,8,0,0,0,0,,0,,,0,,,0,0,0,0,0,1.0,1,3,0,0.0%
802,Mike Adams\AdamMi21,HOU,38,,6,0,0,2,1,50.0%,3,3.0,1.5,0,56.2,10.0,-3,6,0,0,0,0.0,0,3,0,0.0%
803,Nasir Adderley\AddeNa00,LAC,22,,4,0,0,1,0,0.0%,0,,0.0,0,39.6,3.0,0,0,0,0,0,0.0,0,2,0,0.0%
804,Alex Brown\BrowAl02,KAN,23,,3,0,0,0,0,,0,,,0,,,0,0,1,0,1,0.0,1,2,0,0.0%
805,Austin Bryant\BryaAu00,DET,23,,4,0,0,0,0,,0,,,0,,,0,0,0,0,1,0.0,1,8,1,11.1%
806,Chris Covington\CoviCh01,DAL,23,,3,0,0,0,0,,0,,,0,,,0,0,0,0,0,0.0,0,2,1,33.3%
807,Johnathan Cyprien\CyprJo00,2TM,29,,5,1,0,2,2,100.0%,14,7.0,7.0,0,95.8,4.5,9,5,0,0,0,0.0,0,4,1,20.0%
808,Kylie Fitts\FittKy00,ARI,25,,3,0,0,0,0,,0,,,0,,,0,0,5,1,0,0.0,1,4,0,0.0%
809,Rashaan Gaulden\GaulRa00,2TM,24,,10,0,0,2,2,100.0%,10,5.0,5.0,0,87.5,-3.0,-6,16,0,0,0,0.0,0,3,1,25.0%
810,Marcus Gilchrist\GilcMa00,JAX,31,,3,0,0,1,1,100.0%,5,5.0,5.0,0,87.5,5.0,5,0,1,0,0,0.0,0,2,0,0.0%
811,Jermaine Grace\GracJe00,ATL,26,,12,0,0,1,0,0.0%,0,,0.0,0,39.6,4.0,0,0,0,0,0,0.0,0,6,0,0.0%
812,T.J. Green\GreeT.00,2TM,24,,2,0,0,4,2,50.0%,26,13.0,6.5,0,70.8,20.8,24,2,0,0,0,0.0,0,2,0,0.0%
813,Treyvon Hester\HestTr00,WAS,27,,15,0,0,0,0,,0,,,0,,,0,0,0,1,0,1.0,2,8,1,11.1%
814,Jalyn Holmes\HolmJa01,MIN,23,,6,0,0,0,0,,0,,,0,,,0,0,0,1,0,0.0,1,4,0,0.0%
815,Wes Horton\HortWe00,CAR,30,,6,0,0,0,0,,0,,,0,,,0,0,0,2,1,0.0,3,4,1,20.0%
816,Joe Jackson\JackJo02,DAL,23,,5,0,0,1,1,100.0%,9,9.0,9.0,0,104.2,5.0,5,4,2,1,1,0.0,2,4,0,0.0%
817,Bronson Kaufusi\KaufBr01,NYJ,28,,3,1,0,0,0,,0,,,0,,,0,0,0,0,0,0.5,1,3,0,0.0%
818,Greg Mabin\MabiGr00,CIN,25,,9,0,0,1,0,0.0%,0,,0.0,0,39.6,19.0,0,0,0,0,0,0.0,0,2,0,0.0%
819,Terrell McClain\McClTe00,2TM,31,,5,0,0,0,0,,0,,,0,,,0,0,0,0,0,0.0,0,6,1,14.3%
820,Clinton McDonald\McDoCl99,ARI,32,,9,0,0,0,0,,0,,,0,,,0,0,0,1,1,0.0,2,8,1,11.1%
821,Torry McTyer\McTyTo00,CIN,24,,5,0,0,1,1,100.0%,9,9.0,9.0,0,104.2,9.0,9,0,0,0,0,0.0,0,2,0,0.0%
822,Nate Meadors\MeadNa00,MIN,22,,2,0,0,2,2,100.0%,19,9.5,9.5,1,145.8,5.0,10,9,0,0,0,0.0,0,2,0,0.0%
823,Christian Miller\MillCh04,CAR,23,,7,0,0,0,0,,0,,,0,,,0,0,4,0,0,2.0,2,3,0,0.0%
824,Damontre Moore\MoorDa01,SFO,27,,2,0,0,0,0,,0,,,0,,,0,0,1,2,1,0.0,3,5,0,0.0%
825,Natrez Patrick\PatrNa00,LAR,22,,12,0,0,0,0,,0,,,0,,,0,0,1,0,0,0.0,0,2,0,0.0%
826,Nathan Stupar\StupNa01,NYG,31,,3,1,0,4,4,100.0%,37,9.3,9.3,0,105.2,3.0,12,25,0,0,0,0.0,0,4,1,20.0%
827,Kemoko Turay\TuraKe00,IND,24,,4,0,0,0,0,,0,,,0,,,0,0,1,1,4,1.5,7,5,0,0.0%
828,Jeremiah Valoaga\ValoJe00,SFO,25,,4,0,0,1,1,100.0%,9,9.0,9.0,0,104.2,1.0,1,8,0,0,0,0.0,0,2,0,0.0%
829,Sylvester Williams\WillSy00,LAC,31,,5,0,0,0,0,,0,,,0,,,0,0,0,1,0,0.0,1,5,0,0.0%
830,Tim Williams\WillTi00,2TM,26,,5,0,0,0,0,,0,,,0,,,0,0,8,0,0,0.0,0,2,0,0.0%
831,Justin Zimmer\ZimmJu00,CLE,27,,2,0,0,0,0,,0,,,0,,,0,0,0,0,0,0.0,0,5,2,28.6%
832,Johnathan Abram\AbraJo01,OAK,23,,1,1,0,3,2,66.7%,62,31.0,20.7,0,109.7,21.7,49,13,1,0,0,0.0,0,5,2,28.6%
833,Byron Cowart\CowaBy00,NWE,23,,5,0,0,0,0,,0,,,0,,,0,0,0,0,0,0.0,0,2,1,33.3%
834,Tyrone Crawford\CrawTy00,DAL,30,,4,2,0,1,1,100.0%,-2,-2.0,-2.0,0,79.2,-6.0,-6,4,0,0,1,1.0,2,3,1,25.0%
835,Xavier Crawford\CrawXa00,2TM,24,,5,0,0,1,1,100.0%,5,5.0,5.0,0,87.5,2.0,2,3,0,0,0,0.0,0,2,0,0.0%
836,Matt Dickerson\DickMa00,TEN,24,,5,0,0,0,0,,0,,,0,,,0,0,0,1,1,0.0,2,2,1,33.3%
837,Kevin Givens\GiveKe01,SFO,22,,1,0,0,0,0,,0,,,0,,,0,0,0,2,0,0.0,2,1,0,0.0%
838,Ryan Glasgow\GlasRy00,CIN,26,,5,2,0,1,0,0.0%,0,,0.0,0,39.6,0.0,0,0,0,0,2,0.0,2,7,0,0.0%
839,Ahmad Gooden\GoodAh00,DEN,24,,3,0,0,0,0,,0,,,0,,,0,0,0,0,1,0.0,1,1,0,0.0%
840,Jalen Guyton\GuytJa01,LAC,22,,3,0,0,1,1,100.0%,9,9.0,9.0,0,104.2,6.0,6,3,0,0,0,0.0,0,1,0,0.0%
841,Saquan Hampton\HampSa00,NOR,24,,5,0,0,3,2,66.7%,9,4.5,3.0,0,70.1,1.7,-1,10,1,0,0,0.0,0,1,0,0.0%
842,Frank Herron\HerrFr00,DET,25,,3,0,0,0,0,,0,,,0,,,0,0,0,1,0,0.0,1,6,0,0.0%
843,Isaiah Johnson\JohnIs02,OAK,24,,5,0,0,2,1,50.0%,20,20.0,10.0,0,85.4,11.5,20,0,0,0,0,0.0,0,2,0,0.0%
844,Jonathan Ledbetter\LedbJo01,MIA,22,,1,1,0,0,0,,0,,,0,,,0,0,0,1,0,0.5,2,4,1,20.0%
845,Hercules Mata'afa\MataHe00,MIN,24,,6,0,0,0,0,,0,,,0,,,0,0,4,1,0,0.0,1,1,0,0.0%
846,Rob McCray\McCrRo00,CLE,23,,1,0,0,0,0,,0,,,0,,,0,0,2,1,0,0.0,1,1,0,0.0%
847,Cassanova McKinzy\McKiCa01,WAS,27,,3,0,0,0,0,,0,,,0,,,0,0,1,0,0,1.0,1,1,0,0.0%
848,Anthony Nelson\NelsAn01,TAM,22,,9,1,0,1,1,100.0%,6,6.0,6.0,0,91.7,5.0,5,1,11,0,0,0.0,0,8,1,11.1%
849,Kyle Peko\PekoKy00,2TM,26,,6,0,0,0,0,,0,,,0,,,0,0,0,1,0,0.0,1,5,0,0.0%
850,Harrison Phillips\PhilHa00,BUF,23,,3,0,0,0,0,,0,,,0,,,0,0,0,0,0,0.5,1,3,0,0.0%
851,Caraun Reid\ReidCa00,ARI,28,,3,3,0,0,0,,0,,,0,,,0,0,0,2,0,0.0,2,4,1,20.0%
852,Tuzar Skipper\SkipTu00,NYG,24,,6,0,0,0,0,,0,,,0,,,0,0,2,0,0,0.5,1,3,0,0.0%
853,Noah Spence\SpenNo00,WAS,25,,7,0,0,0,0,,0,,,0,,,0,0,0,0,1,1.0,2,3,0,0.0%
854,Stephone Anthony\AnthSt00,NOR,27,,12,1,0,1,0,0.0%,0,,0.0,0,39.6,-2.0,0,0,1,0,0,0.0,0,1,0,0.0%
855,James Crawford\CrawJa01,MIA,25,,3,0,0,0,0,,0,,,0,,,0,0,3,0,0,0.0,0,1,0,0.0%
856,Noah Fant\FantNo00,DEN,22,TE,16,11,0,1,0,0.0%,0,,0.0,0,39.6,11.0,0,0,0,0,0,0.0,0,0,0,
857,Bruce Hector\HectBr00,PHI,25,,3,1,0,0,0,,0,,,0,,,0,0,0,0,1,0.0,1,0,0,
858,Albert Huggins\HuggAl01,PHI,22,,4,0,0,0,0,,0,,,0,,,0,0,0,1,1,0.0,2,3,0,0.0%
859,Joey Ivie\IvieJo00,2TM,24,,8,0,0,0,0,,0,,,0,,,0,0,0,1,1,0.0,2,2,0,0.0%
860,Stacy McGee\McGeSt01,CAR,29,,4,0,0,0,0,,0,,,0,,,0,0,0,0,0,0.5,1,2,0,0.0%
861,T.Y. McGill\McGiT.00,LAC,27,,3,0,0,1,1,100.0%,5,5.0,5.0,0,87.5,-4.0,-4,9,0,0,0,0.0,0,2,0,0.0%
862,Bryan Mone\MoneBr00,SEA,24,,4,0,0,0,0,,0,,,0,,,0,0,0,1,0,0.0,1,4,0,0.0%
863,D.J. Moore\MoorD.00,CAR,22,WR,15,15,0,1,0,0.0%,0,,0.0,0,39.6,9.0,0,0,0,0,0,0.0,0,0,0,
864,Carroll Phillips\PhilCa00,WAS,27,,1,0,0,0,0,,0,,,0,,,0,0,0,0,1,0.0,1,0,1,100.0%
865,Anthony Pittman\PittAn01,DET,23,,1,0,0,0,0,,0,,,0,,,0,0,0,0,1,0.0,1,1,0,0.0%
866,Michael Schofield\SchoMi00,LAC,29,G/RG,16,16,0,0,0,,0,,,0,,,0,0,0,1,0,0.0,1,0,0,
867,Deadrin Senat\SenaDe00,ATL,25,,2,0,0,0,0,,0,,,0,,,0,0,0,0,1,0.0,1,0,0,
868,Chris Smith\SmitCh03,CLE,27,,9,0,0,1,1,100.0%,6,6.0,6.0,0,91.7,-3.0,-3,9,0,0,1,0.0,1,1,0,0.0%
869,Gerald Willis\WillGe02,MIA,24,,2,0,0,0,0,,0,,,0,,,0,0,0,1,0,0.0,1,2,0,0.0%